ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched,squared_error,absolute_error
KXNBAGAME-25OCT31NYKCHI-CHI,New York vs Chicago Winner?,yes,1.0,2025-11,high,last_preclose,1761965406,1761962400.0,3006.0,0.72,True,0.07840000000000001,0.28
KXNBASPREAD-25NOV24PORMIL-MIL1,Milwaukee wins by over 1.5 Points?,no,0.0,2025-11,high,last_preclose,1764043189,1764039600.0,3589.0,0.01,True,0.0001,0.01
KXNBATOTAL-25NOV24PORMIL-229,Portland at Milwaukee: Total Points,no,0.0,2025-11,high,last_preclose,1764043185,1764039600.0,3585.0,0.12,True,0.0144,0.12
KXNCAAFGAME-25NOV15MSSTMIZZ-MIZZ,Mississippi St. at Missouri Winner?,yes,1.0,2025-11,high,last_preclose,1763267377,1763265600.0,1777.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFGAME-25NOV15USUUNLV-UNLV,Utah St. at UNLV Winner?,yes,1.0,2025-11,high,last_preclose,1763265279,1763262000.0,3279.0,0.71,True,0.08410000000000002,0.29000000000000004
KXNCAAFGAME-25NOV22NEVWYO-WYO,Nevada at Wyoming Winner?,no,0.0,2025-11,high,last_preclose,1763849153,1763848800.0,353.0,0.19,True,0.0361,0.19
KXNCAAFGAME-25NOV29FSUFLA-FLA,Florida St. at Florida Winner?,yes,1.0,2025-11,high,last_preclose,1764465032,1764464400.0,632.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFSPREAD-25NOV01WVUHOU-HOU9,Houston wins by over 9.5 points?,no,0.0,2025-11,high,last_preclose,1762030331,1762023600.0,6731.0,0.01,True,0.0001,0.01
KXNCAAFSPREAD-25NOV22PITTGT-PITT7,Pittsburgh wins by over 7.5 points?,yes,1.0,2025-11,high,last_preclose,1763873687,1763870400.0,3287.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFSPREAD-25NOV28ARIZASU-ARIZ3,Arizona wins by over 3.5 points?,yes,1.0,2025-11,high,last_preclose,1764397204,1764396000.0,1204.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAMBGAME-25NOV03ARIZFLA-FLA,Arizona at Florida Winner?,no,0.0,2025-11,high,last_preclose,1762228373,1762225200.0,3173.0,0.01,True,0.0001,0.01
KXNCAAMBTOTAL-25NOV25BAYSJU-159,Baylor at St. John's: Total Points,yes,1.0,2025-11,high,last_preclose,1764115555,1764115200.0,355.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLSPREAD-25NOV02CARGB-CAR2,Carolina wins by over 2.5 points?,yes,1.0,2025-11,high,last_preclose,1762118338,1762117200.0,1138.0,0.42,True,0.3364000000000001,0.5800000000000001
KXNFLSPREAD-25NOV27CINBAL-CIN3,Cincinnati wins by over 3.5 points?,yes,1.0,2025-11,high,last_preclose,1764306016,1764306000.0,16.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLTOTAL-25NOV09BUFMIA-44,Buffalo at Miami: Total Points,no,0.0,2025-11,high,last_preclose,1762723788,1762722000.0,1788.0,0.25,True,0.0625,0.25
KXNFLTOTAL-25NOV23ATLNO-32,Atlanta at New Orleans: Total Points,yes,1.0,2025-11,high,last_preclose,1763945123,1763942400.0,2723.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLTOTAL-25NOV23MINGB-34,Minnesota at Green Bay: Total Points,no,0.0,2025-11,high,last_preclose,1763931655,1763931600.0,55.0,0.01,True,0.0001,0.01
KXNHLGAME-25NOV18CBJWPG-WPG,Columbus vs Winnipeg Winner?,yes,1.0,2025-11,high,last_preclose,1763525394,1763524800.0,594.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNHLGAME-25NOV19BOSANA-BOS,Boston vs Anaheim Winner?,no,0.0,2025-11,high,last_preclose,1763620480,1763618400.0,2080.0,0.01,True,0.0001,0.01
KXBOOKAWARDSYPLIT-25-TEA,Will The Teacher of Nomad Land: A World War II Story win Young People's Literature at the 76th National Book Awards?,yes,1.0,2025-11,low,last_preclose,1763650962,1763607600.0,43362.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXEPLSPREAD-25NOV08CFCWOL-WOL2,Wolverhampton wins by over 2.5 goals?,no,0.0,2025-11,low,last_preclose,1762639184,1762632000.0,7184.0,0.01,True,0.0001,0.01
KXNBAREB-25NOV25ATLWAS-ATLJJOHNSONPF-10,Jalen Johnson records 10+ rebounds,no,0.0,2025-11,low,last_preclose,1764124472,1764115200.0,9272.0,0.67,True,0.4489000000000001,0.67
KXNBAREB-25NOV28DALLAL-LALLDONCICPG-8,Luka Dončić records 8+ rebounds,no,0.0,2025-11,low,last_preclose,1764396272,1764378000.0,18272.0,0.58,True,0.3364,0.58
KXNCAAFSPREAD-25NOV18WMUNIU-NIU6,Northern Illinois wins by over 6.5 points?,no,0.0,2025-11,low,last_preclose,1763527176,1763521200.0,5976.0,0.01,True,0.0001,0.01
KXNCAAFSPREAD-25NOV29UTEPDEL-UTEP7,UTEP wins by over 7.5 points?,no,0.0,2025-11,low,last_preclose,1764456961,1764453600.0,3361.0,0.01,True,0.0001,0.01
KXNCAAMBSPREAD-25NOV11NAUARIZ-ARIZ25,Arizona wins by over 25.5 Points?,yes,1.0,2025-11,low,last_preclose,1762920887,1762920000.0,887.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAMBSPREAD-25NOV14COLGILL-ILL44,Illinois wins by over 44.5 Points?,no,0.0,2025-11,low,last_preclose,1763179799,1763179200.0,599.0,0.01,True,0.0001,0.01
KXNCAAMBSPREAD-25NOV14HPUAB-UAB7,UAB wins by over 7.5 Points?,yes,1.0,2025-11,low,last_preclose,1763177710,1763175600.0,2110.0,0.99,True,0.00010000000000000018,0.010000000000000009
