ticker,title,event_ticker,market_type,status,result,outcome,created_time,open_time,close_time,settlement_ts,volume_fp,liquidity_dollars,open_interest_fp,resolution_month,source,liquidity_proxy,liquidity_bucket,stratum,sample_seed,liquidity_proxy_column
KXPGATOUR-FSJC25-PCAN,Will Patrick Cantlay win the FedEx St. Jude Championship?,KXPGATOUR-FSJC25,binary,finalized,no,0.0,2025-08-02T00:00:43.931984Z,2025-08-02 00:05:00+00:00,2025-08-10 23:13:58.006165+00:00,2025-08-10T23:15:05.679692Z,94572.0,0.0,0.0,2025-08,historical,94572.0,high,2025-08__high,20260409,volume_fp
KXSWIFTMENTION-25AUG13-STU,What will Taylor Swift say during New Heights Show?,KXSWIFTMENTION-25AUG13,binary,finalized,no,0.0,2025-08-12T22:50:49.859163Z,2025-08-12 23:15:00+00:00,2025-08-14 16:38:11.115525+00:00,2025-08-14T17:08:14.21415Z,11155.0,0.0,0.0,2025-08,historical,11155.0,high,2025-08__high,20260409,volume_fp
KXWNBAGAME-25AUG10MINNY-NY,Minnesota vs New York Winner?,KXWNBAGAME-25AUG10MINNY,binary,finalized,no,0.0,2025-08-09T04:01:07.618062Z,2025-08-09 12:00:00+00:00,2025-08-10 18:41:23.336589+00:00,2025-08-10T18:46:23.669648Z,98226.0,0.0,0.0,2025-08,historical,98226.0,high,2025-08__high,20260409,volume_fp
KXWTAMATCH-25AUG14BROGAU-GAU,Will Coco Gauff win the Bronzetti vs Gauff match?,KXWTAMATCH-25AUG14BROGAU,binary,finalized,yes,1.0,2025-08-14T05:00:55.622669Z,2025-08-14 05:05:00+00:00,2025-08-14 16:30:46.958768+00:00,2025-08-14T16:35:47.216229Z,75433.0,0.0,0.0,2025-08,historical,75433.0,high,2025-08__high,20260409,volume_fp
KXNFLTOTAL-25AUG23BALWAS-41,Baltimore at Washington: Spread Total Points?,KXNFLTOTAL-25AUG23BALWAS,binary,finalized,no,0.0,2025-08-19T00:01:56.277531Z,2025-08-19 00:06:00+00:00,2025-08-23 15:20:10.275590+00:00,2025-08-23T19:26:10.724761Z,200.0,0.0,0.0,2025-08,historical,200.0,low,2025-08__low,20260409,volume_fp
KXNCAAFTOTAL-25AUG29WIUILL-63,Western Illinois at Illinois: Spread Total Points?,KXNCAAFTOTAL-25AUG29WIUILL,binary,finalized,no,0.0,2025-08-21T01:36:01.03632Z,2025-08-21 01:41:00+00:00,2025-08-30 04:00:30.935676+00:00,2025-08-30T04:06:31.500108Z,2570.0,0.0,0.0,2025-08,historical,2570.0,mid,2025-08__mid,20260409,volume_fp
KXTRUMPMENTION-25AUG11-BORD,"What will Trump say during Press Conference on Crime and Beautification on August 11, at 10:00 A.M. EST in the Press Briefing Room?",KXTRUMPMENTION-25AUG11,binary,finalized,yes,1.0,2025-08-10T21:10:15.232067Z,2025-08-10 21:30:00+00:00,2025-08-11 21:31:05.812917+00:00,2025-08-11T22:01:08.739441Z,3450.0,0.0,0.0,2025-08,historical,3450.0,mid,2025-08__mid,20260409,volume_fp
KXEMMYLSACTR-77-JOA,Will Joan Allen win Movie/Limited Supporting Actress at the Emmy Awards?,KXEMMYLSACTR-77,binary,finalized,no,0.0,2025-04-18T23:19:14.939263Z,2025-04-19 14:00:00+00:00,2025-09-15 02:03:54.760781+00:00,2025-07-15T17:37:28.385762Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXNFL2TD-25SEP04DALPHI-DALJFERGUSON87,Dallas at Philadelphia: 2 or More Touchdowns?: Jake Ferguson,KXNFL2TD-25SEP04DALPHI,binary,finalized,no,0.0,2025-09-04T05:25:33.625126Z,2025-09-04 05:30:00+00:00,2025-09-05 18:00:55.538353+00:00,2025-09-05T18:06:58.183909Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXNFLSPREAD-25SEP07CARJAC-CAR32,Carolina wins by over 32.5 points?,KXNFLSPREAD-25SEP07CARJAC,binary,finalized,no,0.0,2025-08-26T05:40:01.228406Z,2025-08-26 05:44:00+00:00,2025-09-07 21:40:00.895544+00:00,2025-09-07T21:46:07.6909Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXNFLSPREAD-25SEP07TENDEN-TEN15,Tennessee wins by over 15.5 points?,KXNFLSPREAD-25SEP07TENDEN,binary,finalized,no,0.0,2025-08-26T05:40:32.540769Z,2025-08-26 05:45:00+00:00,2025-09-08 02:14:43.881679+00:00,2025-09-08T02:20:44.979867Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXNFLTOTAL-25SEP07CARJAC-10,Carolina at Jacksonville: Spread Total Points?,KXNFLTOTAL-25SEP07CARJAC,binary,finalized,yes,1.0,2025-08-26T05:40:03.503148Z,2025-08-26 05:45:00+00:00,2025-09-07 21:39:46.690347+00:00,2025-09-07T21:45:48.980754Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXNFLTOTAL-25SEP07NYGWAS-17,New York G at Washington: Spread Total Points?,KXNFLTOTAL-25SEP07NYGWAS,binary,finalized,yes,1.0,2025-08-26T05:40:08.506887Z,2025-08-26 05:45:00+00:00,2025-09-07 20:50:11.338749+00:00,2025-09-07T20:58:18.970304Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXTOP10BILLBOARDCB-25-7,"How many spots on the Billboard Hot 100's top 10 will Cardi B hold for the week of Oct 4, 2025?",KXTOP10BILLBOARDCB-25,binary,finalized,no,0.0,2025-09-03T21:40:43.77219Z,2025-09-04 14:00:00+00:00,2025-09-30 19:18:56.385795+00:00,2025-09-30T19:48:59.889562Z,0.0,0.0,0.0,2025-09,historical,0.0,all,2025-09__all,20260409,volume_fp
KXEMMYDSACTO-77-WAL,Will Walton Goggins win Drama Supporting Actor at the Emmy Awards?,KXEMMYDSACTO-77,binary,finalized,no,0.0,2025-04-18T23:17:32.182994Z,2025-04-19 14:00:00+00:00,2025-09-15 00:48:58.114256+00:00,2025-09-15T01:49:01.801436Z,16580.0,0.0,0.0,2025-09,historical,16580.0,high,2025-09__high,20260409,volume_fp
KXEPLGAME-25SEP20WOLLEE-LEE,Wolverhampton vs Leeds United Winner?,KXEPLGAME-25SEP20WOLLEE,binary,finalized,yes,1.0,2025-09-06T00:00:49.647139Z,2025-09-06 00:05:00+00:00,2025-09-20 15:58:31.836947+00:00,2025-09-20T16:06:51.580796Z,299352.0,0.0,0.0,2025-09,historical,299352.0,high,2025-09__high,20260409,volume_fp
KXMLBGAME-25SEP06PHIMIA-MIA,Philadelphia at Miami Winner?,KXMLBGAME-25SEP06PHIMIA,binary,finalized,no,0.0,2025-09-06T04:35:26.125358Z,2025-09-06 12:00:00+00:00,2025-09-06 23:26:49.685094+00:00,2025-09-06T23:35:09.849003Z,47008.0,0.0,0.0,2025-09,historical,47008.0,high,2025-09__high,20260409,volume_fp
KXMLBGAME-25SEP06SFSTL-STL,San Francisco at St. Louis Winner?,KXMLBGAME-25SEP06SFSTL,binary,finalized,yes,1.0,2025-09-06T04:35:27.729865Z,2025-09-06 12:00:00+00:00,2025-09-07 02:11:18.769470+00:00,2025-09-07T02:19:38.649709Z,41155.0,0.0,0.0,2025-09,historical,41155.0,high,2025-09__high,20260409,volume_fp
KXNCAAFGAME-25SEP20USMLT-LT,Southern Miss at Louisiana Tech Winner?,KXNCAAFGAME-25SEP20USMLT,binary,finalized,yes,1.0,2025-09-11T22:36:22.725893Z,2025-09-11 22:41:00+00:00,2025-09-21 02:54:42.161899+00:00,2025-09-21T03:00:42.554422Z,38449.0,0.0,0.0,2025-09,historical,38449.0,high,2025-09__high,20260409,volume_fp
KXNFLANYTD-25SEP07SFSEA-SFBROBINSON3,San Francisco at Seattle: Anytime Touchdown Scorer: Brian Robinson Jr.,KXNFLANYTD-25SEP07SFSEA,binary,finalized,no,0.0,2025-09-04T05:26:33.462114Z,2025-09-04 05:31:00+00:00,2025-09-08 06:44:46.541011+00:00,2025-09-08T06:50:47.540119Z,12573.0,0.0,0.0,2025-09,historical,12573.0,high,2025-09__high,20260409,volume_fp
KXNFLTOTAL-25SEP14DENIND-42,Denver at Indianapolis: Spread Total Points?,KXNFLTOTAL-25SEP14DENIND,binary,finalized,yes,1.0,2025-09-09T00:46:37.080525Z,2025-09-09 00:51:00+00:00,2025-09-14 23:34:32.794642+00:00,2025-09-14T23:40:32.830377Z,14753.0,0.0,0.0,2025-09,historical,14753.0,high,2025-09__high,20260409,volume_fp
KXNFLTOTAL-25SEP21CINMIN-36,Cincinnati at Minnesota: Spread Total Points?,KXNFLTOTAL-25SEP21CINMIN,binary,finalized,yes,1.0,2025-09-19T03:36:36.723438Z,2025-09-19 03:55:18+00:00,2025-09-21 20:39:51.851410+00:00,2025-09-21T20:45:52.60385Z,12442.0,0.0,0.0,2025-09,historical,12442.0,high,2025-09__high,20260409,volume_fp
KXTRUMPMENTION-25SEP22-PREG,What will Trump say during Announcement on Significant Medical and Scientific Findings for America's Children on September 22nd?,KXTRUMPMENTION-25SEP22,binary,finalized,yes,1.0,2025-09-22T02:59:08.508006Z,2025-09-22 03:59:00+00:00,2025-09-23 00:57:47.078596+00:00,2025-09-23T01:27:50.553049Z,33186.0,0.0,0.0,2025-09,historical,33186.0,high,2025-09__high,20260409,volume_fp
KXAWARDSCOUNTSEV-26-21,Severance  wins?,KXAWARDSCOUNTSEV-26,binary,finalized,no,0.0,2025-07-29T23:41:39.541674Z,2025-07-30 14:00:00+00:00,2025-09-15 14:56:05.501194+00:00,2025-09-15T15:26:08.618834Z,26.0,0.0,0.0,2025-09,historical,26.0,low,2025-09__low,20260409,volume_fp
KXNCAAFTOTAL-25SEP20ULLEMU-53,Louisiana at Eastern Michigan: Point Total Total Points?,KXNCAAFTOTAL-25SEP20ULLEMU,binary,finalized,yes,1.0,2025-09-18T00:17:57.612623Z,2025-09-18 00:22:00+00:00,2025-09-21 00:00:34.403247+00:00,2025-09-21T00:06:34.622878Z,595.0,0.0,0.0,2025-09,historical,595.0,low,2025-09__low,20260409,volume_fp
KXNFLANYTD-25SEP21LVWAS-WASDEF,Las Vegas at Washington: Anytime Touchdown Scorer: Washington Defense,KXNFLANYTD-25SEP21LVWAS,binary,finalized,no,0.0,2025-09-20T00:34:39.079844Z,2025-09-20 00:39:00+00:00,2025-09-21 21:00:47.465439+00:00,2025-09-21T21:06:56.254064Z,37.0,0.0,0.0,2025-09,historical,37.0,low,2025-09__low,20260409,volume_fp
KXNFLFIRSTTD-25SEP07CINCLE-CLEIBOND16,Cincinnati at Cleveland: First Touchdown Scorer: Isaiah Bond,KXNFLFIRSTTD-25SEP07CINCLE,binary,finalized,no,0.0,2025-09-04T05:26:20.795275Z,2025-09-04 05:31:00+00:00,2025-09-08 06:45:03.845135+00:00,2025-09-08T06:51:03.530676Z,187.0,0.0,0.0,2025-09,historical,187.0,low,2025-09__low,20260409,volume_fp
KXVMACOUNTRY-25-LAI,Best Country winner at VMAs?,KXVMACOUNTRY-25,binary,finalized,no,0.0,2025-08-06T20:59:40.918816Z,2025-08-07 14:00:00+00:00,2025-09-08 06:09:26.322012+00:00,2025-09-08T06:39:30.190741Z,247.0,0.0,0.0,2025-09,historical,247.0,low,2025-09__low,20260409,volume_fp
KXNCAAFSPREAD-25SEP13AFAUSU-USU4,Utah St. wins by over 4.5 points?,KXNCAAFSPREAD-25SEP13AFAUSU,binary,finalized,yes,1.0,2025-09-11T20:56:31.108191Z,2025-09-11 21:01:00+00:00,2025-09-14 05:54:26.895618+00:00,2025-09-14T06:00:30.562364Z,1420.0,0.0,0.0,2025-09,historical,1420.0,mid,2025-09__mid,20260409,volume_fp
KXNCAAFTOTAL-25SEP13USFMIA-61,South Florida at Miami (FL): Spread Total Points?,KXNCAAFTOTAL-25SEP13USFMIA,binary,finalized,no,0.0,2025-09-11T20:56:02.633433Z,2025-09-11 21:01:00+00:00,2025-09-14 02:45:24.434576+00:00,2025-09-14T02:51:24.620673Z,2488.0,0.0,0.0,2025-09,historical,2488.0,mid,2025-09__mid,20260409,volume_fp
KXNFLANYTD-25SEP21ATLCAR-ATLKPITTS8,Atlanta at Carolina: Anytime Touchdown Scorer: Kyle Pitts Sr.,KXNFLANYTD-25SEP21ATLCAR,binary,finalized,no,0.0,2025-09-20T00:34:50.721612Z,2025-09-20 00:39:00+00:00,2025-09-21 20:45:57.386210+00:00,2025-09-21T20:51:57.973283Z,5616.0,0.0,0.0,2025-09,historical,5616.0,mid,2025-09__mid,20260409,volume_fp
