ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched
KXNFLSPREAD-25AUG23BUFTB-TB43,Tampa Bay wins by over 43.5 points?,no,0.0,2025-08,all,1h_before_close,1756032862,,,,False
KXNFLSPREAD-25AUG23BUFTB-TB43,Tampa Bay wins by over 43.5 points?,no,0.0,2025-08,all,last_preclose,1756036462,,,,False
KXNFLSPREAD-25AUG23HOUDET-HOU9,Houston wins by over 9.5 points?,yes,1.0,2025-08,all,1d_before_close,1755879941,,,,False
KXNFLSPREAD-25AUG23HOUDET-HOU9,Houston wins by over 9.5 points?,yes,1.0,2025-08,all,6h_before_close,1755944741,,,,False
KXNFLSPREAD-25AUG23HOUDET-HOU9,Houston wins by over 9.5 points?,yes,1.0,2025-08,all,1h_before_close,1755962741,,,,False
KXNFLSPREAD-25AUG23HOUDET-HOU9,Houston wins by over 9.5 points?,yes,1.0,2025-08,all,last_preclose,1755966341,,,,False
KXNFLTOTAL-25AUG21NENYG-62,New England at New York G: Spread Total Points?,no,0.0,2025-08,all,1d_before_close,1755747652,,,,False
KXNFLTOTAL-25AUG21NENYG-62,New England at New York G: Spread Total Points?,no,0.0,2025-08,all,6h_before_close,1755812452,,,,False
KXNFLTOTAL-25AUG21NENYG-62,New England at New York G: Spread Total Points?,no,0.0,2025-08,all,1h_before_close,1755830452,,,,False
KXNFLTOTAL-25AUG21NENYG-62,New England at New York G: Spread Total Points?,no,0.0,2025-08,all,last_preclose,1755834052,,,,False
KXNFLTOTAL-25AUG23INDCIN-23,Indianapolis at Cincinnati: Spread Total Points?,yes,1.0,2025-08,all,1d_before_close,1755886276,,,,False
KXNFLTOTAL-25AUG23INDCIN-23,Indianapolis at Cincinnati: Spread Total Points?,yes,1.0,2025-08,all,6h_before_close,1755951076,,,,False
KXNFLTOTAL-25AUG23INDCIN-23,Indianapolis at Cincinnati: Spread Total Points?,yes,1.0,2025-08,all,1h_before_close,1755969076,,,,False
KXNFLTOTAL-25AUG23INDCIN-23,Indianapolis at Cincinnati: Spread Total Points?,yes,1.0,2025-08,all,last_preclose,1755972676,,,,False
KXNFLTOTAL-25AUG23LACSF-65,Los Angeles C at San Francisco: Spread Total Points?,no,0.0,2025-08,all,1d_before_close,1755950068,,,,False
KXNFLTOTAL-25AUG23LACSF-65,Los Angeles C at San Francisco: Spread Total Points?,no,0.0,2025-08,all,6h_before_close,1756014868,,,,False
KXNFLTOTAL-25AUG23LACSF-65,Los Angeles C at San Francisco: Spread Total Points?,no,0.0,2025-08,all,1h_before_close,1756032868,,,,False
KXNFLTOTAL-25AUG23LACSF-65,Los Angeles C at San Francisco: Spread Total Points?,no,0.0,2025-08,all,last_preclose,1756036468,,,,False
KXMLBGAME-25AUG22WSHPHI-PHI,Washington at Philadelphia Winner?,no,0.0,2025-08,high,1d_before_close,1755826595,,,,False
KXMLBGAME-25AUG22WSHPHI-PHI,Washington at Philadelphia Winner?,no,0.0,2025-08,high,6h_before_close,1755891395,1755892800.0,1405.0,0.64,True
KXMLBGAME-25AUG22WSHPHI-PHI,Washington at Philadelphia Winner?,no,0.0,2025-08,high,1h_before_close,1755909395,1755910800.0,1405.0,0.87,True
KXMLBGAME-25AUG22WSHPHI-PHI,Washington at Philadelphia Winner?,no,0.0,2025-08,high,last_preclose,1755912995,1755910800.0,2195.0,0.87,True
KXPGATOUR-FSJC25-JSPA,Will J.J. Spaun win the FedEx St. Jude Championship?,no,0.0,2025-08,high,1d_before_close,1754781238,1754780400.0,838.0,0.06,True
KXPGATOUR-FSJC25-JSPA,Will J.J. Spaun win the FedEx St. Jude Championship?,no,0.0,2025-08,high,6h_before_close,1754846038,1754845200.0,838.0,0.06,True
KXPGATOUR-FSJC25-JSPA,Will J.J. Spaun win the FedEx St. Jude Championship?,no,0.0,2025-08,high,1h_before_close,1754864038,1754863200.0,838.0,0.47,True
KXPGATOUR-FSJC25-JSPA,Will J.J. Spaun win the FedEx St. Jude Championship?,no,0.0,2025-08,high,last_preclose,1754867638,1754866800.0,838.0,0.01,True
KXPGATOUR-FSJC25-PCAN,Will Patrick Cantlay win the FedEx St. Jude Championship?,no,0.0,2025-08,high,1d_before_close,1754781238,1754784000.0,2762.0,0.01,True
KXPGATOUR-FSJC25-PCAN,Will Patrick Cantlay win the FedEx St. Jude Championship?,no,0.0,2025-08,high,6h_before_close,1754846038,,,,False
KXPGATOUR-FSJC25-PCAN,Will Patrick Cantlay win the FedEx St. Jude Championship?,no,0.0,2025-08,high,1h_before_close,1754864038,1754863200.0,838.0,0.01,True
KXPGATOUR-FSJC25-PCAN,Will Patrick Cantlay win the FedEx St. Jude Championship?,no,0.0,2025-08,high,last_preclose,1754867638,1754866800.0,838.0,0.01,True
KXSWIFTMENTION-25AUG13-STU,What will Taylor Swift say during New Heights Show?,no,0.0,2025-08,high,1d_before_close,1755103091,1755104400.0,1309.0,0.56,True
KXSWIFTMENTION-25AUG13-STU,What will Taylor Swift say during New Heights Show?,no,0.0,2025-08,high,6h_before_close,1755167891,,,,False
KXSWIFTMENTION-25AUG13-STU,What will Taylor Swift say during New Heights Show?,no,0.0,2025-08,high,1h_before_close,1755185891,1755187200.0,1309.0,0.04,True
KXSWIFTMENTION-25AUG13-STU,What will Taylor Swift say during New Heights Show?,no,0.0,2025-08,high,last_preclose,1755189491,1755187200.0,2291.0,0.04,True
KXWNBAGAME-25AUG10MINNY-NY,Minnesota vs New York Winner?,no,0.0,2025-08,high,1d_before_close,1754764883,1754766000.0,1117.0,0.6,True
KXWNBAGAME-25AUG10MINNY-NY,Minnesota vs New York Winner?,no,0.0,2025-08,high,6h_before_close,1754829683,1754830800.0,1117.0,0.6,True
KXWNBAGAME-25AUG10MINNY-NY,Minnesota vs New York Winner?,no,0.0,2025-08,high,1h_before_close,1754847683,1754848800.0,1117.0,0.18,True
KXWNBAGAME-25AUG10MINNY-NY,Minnesota vs New York Winner?,no,0.0,2025-08,high,last_preclose,1754851283,1754848800.0,2483.0,0.18,True
