ticker,endpoint_type,success,candlestick_count,error
KXNCAAWBGAME-26JAN17USACCAR-CCAR,live,True,59,
KXNCAAWBGAME-26JAN17WIUUALR-UALR,live,True,68,
KXNCAAWBGAME-26JAN22CCSUFDU-CCSU,live,True,66,
KXNCAAWBGAME-26JAN28LONGWEBB-LONG,live,True,55,
KXNEXTNFLCOACH-MIA26-KKIN,live,True,281,
KXNFL2TD-25OCT12ARIIND-ARIEDEMERCADO31,historical,True,43,
KXNFL2TD-25SEP04DALPHI-DALJFERGUSON87,historical,True,30,
KXNFLANYTD-25DEC07CINBUF-CINDST,historical,True,37,
KXNFLANYTD-25DEC21CINMIA-MIAMWASHINGTON6,historical,True,50,
KXNFLANYTD-25NOV23PITCHI-CHIKMONANGAI25,historical,True,42,
KXNFLANYTD-25OCT05HOUBAL-HOUNCOLLINS12,historical,True,188,
KXNFLANYTD-25SEP07SFSEA-SFBROBINSON3,historical,True,84,
KXNFLANYTD-25SEP21ATLCAR-ATLKPITTS8,historical,True,43,
KXNFLANYTD-25SEP21LVWAS-WASDEF,historical,True,44,
KXNFLANYTD-26JAN04INDHOU-HOUJHIGGINS81,historical,True,57,
KXNFLANYTD-26JAN10GBCHI-CHIKMONANGAI25,live,True,132,
KXNFLFIRSTTD-25DEC07INDJAC-INDDST,historical,True,34,
KXNFLFIRSTTD-25DEC21PITDET-PITARODGERS8,historical,True,55,
KXNFLFIRSTTD-25DEC28NENYJ-NOTD,historical,True,43,
KXNFLFIRSTTD-25NOV02LACTEN-TENEAYOMANOR5,historical,True,31,
KXNFLFIRSTTD-25NOV30ARITB-TBCOTTON88,historical,True,43,
KXNFLFIRSTTD-25OCT30BALMIA-MIATCONNER80,historical,True,39,
KXNFLFIRSTTD-25SEP07CINCLE-CLEIBOND16,historical,True,81,
KXNFLFIRSTTD-25SEP28BALKC-BALDHOPKINS10,historical,True,27,
KXNFLGAME-25OCT20HOUSEA-HOU,historical,True,296,
KXNFLPASSTDS-25DEC21NEBAL-BALLJACKSON8-2,historical,True,62,
KXNFLPASSTDS-25DEC28ARICIN-CINJBURROW9-3,historical,True,54,
KXNFLPASSTDS-25NOV23JACARI-ARIJBRISSETT7-2,historical,True,48,
KXNFLPASSTDS-25NOV30LACAR-LAMSTAFFORD9-3,historical,True,43,
KXNFLPASSYDS-25DEC14LACKC-LACJHERBERT10-350,historical,True,44,
KXNFLPASSYDS-25DEC25DENKC-KCCOLADOKUN19-300,historical,True,16,
KXNFLPASSYDS-25NOV09PITLAC-PITARODGERS8-350,historical,True,49,
KXNFLPASSYDS-25NOV30BUFPIT-PITARODGERS8-350,historical,True,42,
KXNFLPASSYDS-25OCT20TBDET-TBBMAYFIELD6-175,historical,True,53,
KXNFLPASSYDS-26JAN18HOUNE-HOUCSTROUD7-275,live,True,51,
KXNFLPREPACK3ML-25DEC14DENGBLADETSEAIND-GBLAIND,historical,True,85,
KXNFLREC-25DEC07CINBUF-BUFKCOLEMAN0-3,historical,True,49,
KXNFLREC-25DEC07SEAATL-ATLDMOONEY1-3,historical,True,43,
KXNFLREC-25DEC14BALCIN-CINCBROWN30-4,historical,True,59,
KXNFLREC-25DEC14BUFNE-NESDIGGS8-3,historical,True,48,
KXNFLREC-25DEC14INDSEA-SEACKUPP10-3,historical,True,60,
KXNFLREC-25DEC25DALWAS-WASDSAMUEL1-6,historical,True,56,
KXNFLREC-25DEC27BALGB-GBJJACOBS8-5,historical,True,5,
KXNFLREC-25NOV02KCBUF-KCTKELCE87-6,historical,True,34,
KXNFLREC-25NOV09BALMIN-BALDHOPKINS10-3,historical,True,20,
KXNFLREC-25NOV09NOCAR-NOJJOHNSON83-2,historical,True,27,
KXNFLREC-25NOV13NYJNE-NESDIGGS8-6,historical,True,45,
